event_id,latitude,longitude,premise_type,hood_id,occurrence_time_id,reported_time_id,crime_id
191301,43.7647591,-79.4119644,,38,6871,,,
191302,43.7137184,-79.2494812,,123,6871,,,
191303,43.6604958,-79.4055405,,79,6871,,,
191304,43.6556587,-79.3839645,,76,6871,,,
191305,43.7647591,-79.4119644,,38,6871,,,
191306,43.6612473,-79.4016113,,79,3593,,,
191307,43.7844505,-79.1841736,,134,6748,,,
191308,43.7844505,-79.1841736,,134,9152,,,
191309,43.6812019,-79.4925537,,111,9155,,,
191310,43.6681175,-79.3697586,,71,3583,,,
191311,43.6485825,-79.3868179,,77,3583,,,
191312,43.6788979,-79.3450394,,68,3583,,,
191313,43.6457062,-79.393837,,77,3583,,,
191314,43.6458778,-79.399826,,77,9023,,,
191315,43.6523552,-79.3676224,,73,9023,,,
191316,43.6597137,-79.3577576,,72,9023,,,
191317,43.6604576,-79.3876266,,76,9023,,,
191318,43.7104721,-79.3091583,,54,16135,,,
191319,43.6712418,-79.3874207,,98,16135,,,
191320,43.6562729,-79.3811264,,76,6065,,,
191321,43.648098,-79.3762436,,75,6065,,,
191322,43.649395,-79.371666,,77,12718,,,
191323,43.7507629,-79.5636063,,21,1572,,,
191324,43.6643105,-79.3873825,,76,1356,,,
191325,43.6571579,-79.3941956,,78,1356,,,
191326,43.6581192,-79.3866119,,76,7318,,,
191327,43.67836,-79.3586197,,67,7318,,,
191328,43.6795006,-79.3987579,,96,49568,,,
191329,43.6795006,-79.3987579,,96,49568,,,
191330,43.6529961,-79.4503098,,86,10826,,,
191331,43.6509476,-79.3696747,,73,10826,,,
191332,43.678112,-79.5311813,,9,10826,,,
191333,43.7735558,-79.2613373,,127,10826,,,
191334,43.6434441,-79.3768768,,77,10826,,,
191335,43.7703705,-79.1835861,,136,828,,,
191336,43.6671181,-79.5321045,,9,828,,,
191337,43.649765,-79.3705139,,77,8408,,,
191338,43.6940079,-79.3377075,,58,8408,,,
191339,43.6429176,-79.4423904,,86,1710,,,
191340,43.6429176,-79.4423904,,86,1710,,,
191341,43.6556587,-79.3839645,,76,13239,,,
191342,43.6556587,-79.3839645,,76,13239,,,
191343,43.6721306,-79.4062424,,95,13239,,,
191344,43.6581192,-79.3866119,,76,6141,,,
191345,43.6878624,-79.3637848,,56,6141,,,
191346,43.6386147,-79.4141541,,82,13562,,,
191347,43.6878242,-79.3192062,,66,2991,,,
