bike_theft_id,colour,make,model,speed,bike_type,status,cost
600214,,UNKNOWN MAKE   ,,5,OT,STOLEN,200.0
600215,BLUGRY,CARRERA        ,UNKNOWN        ,1,OT,STOLEN,500.0
600216,LBL   ,CANNONDALE     ,LEFTY          ,27,MT,STOLEN,500.0
600217,WHI   ,GIANT          ,ALIGHT 3       ,7,MT,STOLEN,588.7
600218,REDBLK,EMMO           ,,1,EL,STOLEN,900.0
600219,BLU   ,OT             ,UNKNOWN        ,99,MT,UNKNOWN,
600220,GRYBLU,SUPERCYCLE     ,,0,MT,RECOVERED,200.0
600221,BLK   ,KNIFE          ,COMPRESSION    ,18,OT,STOLEN,500.0
600222,,PEUGEOT        ,,0,RG,STOLEN,
600223,PLE   ,SPECIALIZED    ,EPIC           ,11,RG,STOLEN,1000.0
600224,BLK   ,TREK           ,,21,MT,STOLEN,600.0
600225,BLU   ,NORCO          ,,21,MT,STOLEN,600.0
600226,RED   ,GARY FISHER    ,PIRAHNA        ,21,MT,STOLEN,550.0
600227,BLU   ,SUPERCYCLE     ,,3,OT,STOLEN,
600228,RED   ,SUPERCYCLE     ,,10,RG,STOLEN,300.0
600229,WHI   ,OTHER          ,,1,RG,STOLEN,300.0
600230,GRN   ,OTHER          ,,1,RG,STOLEN,300.0
600231,BLK   ,OTHER          ,,0,BM,STOLEN,200.0
600232,MRN   ,NAKAMURA       ,UNKNOWN        ,5,MT,STOLEN,200.0
600233,SILRED,SPECIALIZED    ,SIRRUS ELITE   ,5,MT,STOLEN,829.0
600234,WHI   ,CCM            ,,0,OT,STOLEN,700.0
600235,BLK   ,RALEIGH        ,,3,MT,STOLEN,300.0
600236,WHI   ,CCM            ,,1,FO,STOLEN,400.0
600237,BLU   ,OTHER          ,1700 SERIES    ,1,OT,STOLEN,3041.0
600238,RED   ,UNKNOWN MAKE   ,,0,RG,STOLEN,100.0
600239,BLKRED,SPECIALIZED    ,HARD ROCK SPORT,21,MT,STOLEN,900.0
600240,,"INFINITY
      ",SUPERIOR BRAVO ,21,MT,STOLEN,250.0
600241,YELBLK,OTHER          ,,21,MT,STOLEN,150.0
600242,GRY   ,JAMIES         ,VENTURE SPORT  ,16,OT,STOLEN,639.99
600243,MRN   ,OTHER          ,,1,SC,STOLEN,2000.0
600244,BLKGRY,ENNO           ,,1,EL,STOLEN,1750.0
600245,GRY   ,TR             ,,18,MT,STOLEN,
600246,RED   ,EMMO           ,ALIEN          ,2,EL,STOLEN,1000.0
600247,,OTHER          ,,12,MT,UNKNOWN,
600248,,UNKNOWN MAKE   ,SOUL           ,12,MT,RECOVERED,
600249,,GREEN KHS SOUL ,HYBRID         ,0,RG,UNKNOWN,
600250,BLKWHI,"KONA
          ",,18,OT,STOLEN,800.0
600251,PNKSIL,SUPERCYCLE     ,IMPULSE SE     ,10,MT,STOLEN,
600252,BGE   ,"KONA
          ",,18,TO,STOLEN,800.0
600253,BLU   ,OTHER          ,ROUBAIX        ,18,RC,STOLEN,2000.0
600254,GRY   ,OTHER          ,RAZOR POCKET   ,1,SC,STOLEN,150.0
600255,BLU   ,SPECIALIZED    ,VITA           ,18,OT,STOLEN,1000.0
600256,BLK   ,GIANT          ,SEEK2          ,18,OT,STOLEN,630.0
600257,WHI   ,EMMO           ,,3,EL,STOLEN,1121.0
600258,GLDSIL,"INFINITY
      ",,21,OT,STOLEN,300.0
600259,SIL   ,"INFINITY
      ",,21,MT,STOLEN,159.0
600260,BLK   ,CCM            ,,12,MT,STOLEN,200.0
600261,BLUWHI,GIANT          ,RAPID 2        ,21,MT,STOLEN,1400.0
600262,BLU   ,"KONA
          ",DOOR PRIDE     ,1,OT,STOLEN,850.0
600263,BLUBLK,JAMIS          ,,1,TO,STOLEN,450.0
600264,,OTHER          ,BMC            ,18,BM,STOLEN,5199.0
600265,REDWHI,SPECIALIZED    ,ALLEZ          ,10,RC,STOLEN,1000.0
600266,WHI   ,EVERYDAY       ,COMFORT BIKE   ,21,RG,STOLEN,
600267,RED   ,NEXT           ,BREAK POINT    ,21,MT,STOLEN,0.0
600268,,OTHER          ,,1,MT,STOLEN,185.0
600269,RED   ,OTHER          ,FORTRESS       ,1,SC,STOLEN,3000.0
600270,BLU   ,SCHWINN        ,,1,FO,RECOVERED,400.0
600271,YEL   ,UNKNOWN        ,,0,MT,STOLEN,
600272,REDWHI,CANNONDALE     ,SL             ,24,MT,STOLEN,
600273,BLKWHI,CANNONDALE     ,F4             ,24,MT,STOLEN,
600274,,UNKNOWN MAKE   ,,12,MT,STOLEN,
600275,,SCOTT          ,SPORTSTER      ,12,OT,UNKNOWN,
600276,BLK   ,ARGON 18       ,E-80           ,5,OT,STOLEN,1581.99
600277,,SCOTT          ,SPARK          ,5,OT,STOLEN,3000.0
600278,BLK   ,FELT           ,F-75           ,5,OT,STOLEN,1449.99
600279,WHIGLD,OTHER          ,STATE-ELDORAD0 ,5,OT,STOLEN,599.99
600280,BLKGRN,GIANT          ,TALON 27.5 5   ,5,OT,STOLEN,579.0
600281,RED   ,OTHER          ,,18,MT,STOLEN,100.0
600282,BLU   ,TREK           ,,10,RC,STOLEN,1152.77
600283,ONG   ,GT             ,,10,RG,STOLEN,400.0
600284,BLU   ,THIN BLUE LINE ,DUSTER         ,18,MT,STOLEN,700.0
600285,BLK   ,UNKNOWN MAKE   ,U/K            ,24,MT,STOLEN,710.0
600286,WHI   ,GIANT          ,,1,OT,STOLEN,400.0
600287,BLU   ,DEVINCI        ,,24,MT,STOLEN,150.0
600288,PLE   ,RALEIGH        ,,18,MT,STOLEN,400.0
600289,GRYWHI,CANNONDALE     ,SCAPEL         ,0,MT,STOLEN,6000.0
600290,BLK   ,CANNONDALE     ,,0,RG,STOLEN,1000.0
600291,BLKRED,GIANT          ,UNK            ,18,MT,STOLEN,1000.0
600292,RED   ,SUPERCYCLE     ,18 SPEED       ,18,MT,UNKNOWN,300.0
600293,,UNKNOWN MAKE   ,,0,OT,STOLEN,
600294,CPRONG,LINUS          ,ROADSTER SPIRIT,3,OT,STOLEN,730.0
600295,WHI   ,CCM            ,UNKNOWN        ,15,MT,STOLEN,
600296,BLU   ,GIANT          ,DEFY           ,15,RC,STOLEN,1700.0
600297,BLUWHI,CCM            ,REVOLUTION     ,5,MT,STOLEN,
600298,BLKRED,ARGON 18       ,KRYPTON        ,18,RC,STOLEN,1400.0
600299,,OTHER          ,REACTOR ADAMS  ,12,MT,UNKNOWN,
600300,WHI   ,VITESSE        ,CUSTOM         ,24,RC,STOLEN,10000.0
600301,BLK   ,RALEIGH        ,TORO           ,10,MT,STOLEN,230.0
600302,GRN   ,TREK           ,7100,21,OT,STOLEN,800.0
600303,LBL   ,OTHER          ,,1,OT,STOLEN,
600304,TAN   ,KH             ,URBAN EXPRESS  ,99,RG,RECOVERED,
600305,GRY   ,OTHER          ,GARDEAU        ,12,TO,STOLEN,900.0
600306,BLU   ,DAVINCI        ,JACK           ,28,MT,STOLEN,1000.0
600307,GRY   ,SCHWINN        ,,8,TO,STOLEN,300.0
600308,MRN   ,SPORTEK        ,,10,MT,STOLEN,
600309,SIL   ,CCM            ,SUPERCYCLE     ,5,MT,STOLEN,50.0
600310,WHI   ,URBANITE       ,,21,OT,RECOVERED,
600311,WHIGRN,JAMIS          ,X-2 TRAILER    ,3,MT,STOLEN,
600312,BLK   ,UNKNOWN MAKE   ,UNKNOWN        ,0,OT,STOLEN,
600313,DGR   ,MONGOOSE       ,,5,OT,STOLEN,250.0
600314,GRY   ,BIANCHI        ,,10,OT,STOLEN,300.0
600315,WHI   ,EMMO           ,H5             ,1,EL,STOLEN,
600316,,CANNONDALE     ,SWIFT          ,21,MT,STOLEN,600.0
600317,BLKGRN,CANNONDALE     ,MOUNTIN BIKE   ,1,MT,STOLEN,500.0
600318,BLU   ,UNKNOWN MAKE   ,KOKUA          ,0,RG,STOLEN,400.0
600319,BLU   ,SPECIALIZED    ,SPORT          ,10,RC,STOLEN,900.0
600320,GRY   ,MARIN OR MARINO,UNKNOWN        ,18,TO,STOLEN,700.0
600321,RED   ,SUPERCYCLE     ,,10,RG,STOLEN,200.0
600322,,BRODIE         ,,21,MT,STOLEN,2000.0
600323,BLKWHI,MEST           ,WICKED         ,21,MT,STOLEN,150.0
600324,BLKWHI,MEST           ,WICKED         ,21,MT,STOLEN,150.0
