timeID,hour,day,month,year,dayOfWeek
608750,9,1,August,2013,Thursday  
713375,10,1,August,2013,Thursday  
606087,12,1,August,2013,Thursday  
627610,18,1,August,2013,Thursday  
616146,0,2,August,2013,Friday    
626903,8,2,August,2013,Friday    
619700,0,3,August,2013,Saturday  
611994,14,3,August,2013,Saturday  
639156,5,5,August,2013,Monday    
787096,13,5,August,2013,Monday    
632626,22,9,August,2013,Friday    
620964,22,14,August,2013,Wednesday 
616548,12,15,August,2013,Thursday  
609014,2,16,August,2013,Friday    
627261,0,18,August,2013,Sunday    
635338,2,19,August,2013,Monday    
638608,0,23,August,2013,Friday    
634767,0,27,August,2013,Tuesday   
610392,11,28,August,2013,Wednesday 
625796,16,29,August,2013,Thursday  
657873,15,30,August,2013,Friday    
600060,22,30,August,2013,Friday    
610000,0,1,September,2013,Sunday    
605457,9,1,September,2013,Sunday    
610575,12,1,September,2013,Sunday    
652648,14,1,September,2013,Sunday    
653144,15,1,September,2013,Sunday    
600796,17,1,September,2013,Sunday    
647763,2,2,September,2013,Monday    
600514,13,2,September,2013,Monday    
601410,23,6,September,2013,Friday    
623145,9,9,September,2013,Monday    
646611,12,10,September,2013,Tuesday   
618902,9,11,September,2013,Wednesday 
600477,10,11,September,2013,Wednesday 
607292,0,12,September,2013,Thursday  
629692,12,12,September,2013,Thursday  
614790,23,12,September,2013,Thursday  
645538,18,14,September,2013,Saturday  
620956,0,15,September,2013,Sunday    
658374,8,16,September,2013,Monday    
619015,13,17,September,2013,Tuesday   
618246,0,18,September,2013,Wednesday 
604511,12,18,September,2013,Wednesday 
608806,0,21,September,2013,Saturday  
630283,1,21,September,2013,Saturday  
609011,18,23,September,2013,Monday    
787502,0,24,September,2013,Tuesday   
650751,0,25,September,2013,Wednesday 
610359,11,26,September,2013,Thursday  
600870,0,27,September,2013,Friday    
628320,17,27,September,2013,Friday    
602474,18,27,September,2013,Friday    
760757,8,28,September,2013,Saturday  
635503,10,28,September,2013,Saturday  
620577,0,30,September,2013,Monday    
648629,22,30,September,2013,Monday    
604218,0,1,October,2013,Tuesday   
648084,3,1,October,2013,Tuesday   
620915,12,1,October,2013,Tuesday   
642173,15,1,October,2013,Tuesday   
622096,0,5,October,2013,Saturday  
609099,15,7,October,2013,Monday    
658100,12,9,October,2013,Wednesday 
618375,1,11,October,2013,Friday    
600056,16,11,October,2013,Friday    
612903,23,14,October,2013,Monday    
610826,0,15,October,2013,Tuesday   
652703,10,15,October,2013,Tuesday   
621105,11,15,October,2013,Tuesday   
625839,16,16,October,2013,Wednesday 
640136,11,17,October,2013,Thursday  
648042,18,18,October,2013,Friday    
602468,3,19,October,2013,Saturday  
640149,19,20,October,2013,Sunday    
716835,7,22,October,2013,Tuesday   
649735,11,25,October,2013,Friday    
601025,12,25,October,2013,Friday    
620626,0,27,October,2013,Sunday    
659068,0,28,October,2013,Monday    
618556,21,28,October,2013,Monday    
732556,17,31,October,2013,Thursday  
618128,0,1,November,2013,Friday    
658094,9,1,November,2013,Friday    
641272,12,1,November,2013,Friday    
625040,13,1,November,2013,Friday    
629871,23,1,November,2013,Friday    
614283,4,3,November,2013,Sunday    
628323,10,3,November,2013,Sunday    
658960,19,6,November,2013,Wednesday 
614383,21,9,November,2013,Saturday  
609540,12,10,November,2013,Sunday    
648198,0,11,November,2013,Monday    
649965,14,11,November,2013,Monday    
630564,15,11,November,2013,Monday    
647384,8,13,November,2013,Wednesday 
628005,12,13,November,2013,Wednesday 
621455,8,14,November,2013,Thursday  
648041,0,15,November,2013,Friday    
611999,14,16,November,2013,Saturday  
643154,0,20,November,2013,Wednesday 
628322,12,20,November,2013,Wednesday 
647696,20,20,November,2013,Wednesday 
647526,10,21,November,2013,Thursday  
636853,21,21,November,2013,Thursday  
619245,10,22,November,2013,Friday    
657978,12,23,November,2013,Saturday  
634214,12,24,November,2013,Sunday    
657175,0,25,November,2013,Monday    
657177,0,26,November,2013,Tuesday   
601240,12,26,November,2013,Tuesday   
610405,13,26,November,2013,Tuesday   
602190,17,26,November,2013,Tuesday   
611635,12,27,November,2013,Wednesday 
657016,15,27,November,2013,Wednesday 
617053,20,27,November,2013,Wednesday 
650275,14,29,November,2013,Friday    
610572,21,30,November,2013,Saturday  
601591,0,1,December,2013,Sunday    
629352,1,1,December,2013,Sunday    
646395,10,1,December,2013,Sunday    
740767,19,1,December,2013,Sunday    
767772,21,1,December,2013,Sunday    
617248,14,2,December,2013,Monday    
618148,17,3,December,2013,Tuesday   
642452,3,6,December,2013,Friday    
648851,12,6,December,2013,Friday    
648131,0,7,December,2013,Saturday  
640525,7,7,December,2013,Saturday  
646712,8,7,December,2013,Saturday  
620242,11,7,December,2013,Saturday  
649584,19,8,December,2013,Sunday    
647646,2,9,December,2013,Monday    
646393,10,10,December,2013,Tuesday   
614508,0,11,December,2013,Wednesday 
614476,9,11,December,2013,Wednesday 
647761,12,11,December,2013,Wednesday 
643156,23,11,December,2013,Wednesday 
610070,0,13,December,2013,Friday    
658207,7,13,December,2013,Friday    
621707,9,13,December,2013,Friday    
658178,12,13,December,2013,Friday    
650923,15,13,December,2013,Friday    
602169,16,13,December,2013,Friday    
601204,0,14,December,2013,Saturday  
611602,10,14,December,2013,Saturday  
602331,9,15,December,2013,Sunday    
648752,12,15,December,2013,Sunday    
646776,16,15,December,2013,Sunday    
600938,20,15,December,2013,Sunday    
657545,0,17,December,2013,Tuesday   
618631,19,18,December,2013,Wednesday 
600453,13,19,December,2013,Thursday  
623446,15,19,December,2013,Thursday  
600733,17,19,December,2013,Thursday  
647775,1,20,December,2013,Friday    
657083,3,20,December,2013,Friday    
643170,6,20,December,2013,Friday    
629663,8,20,December,2013,Friday    
600621,9,20,December,2013,Friday    
600730,12,20,December,2013,Friday    
625806,23,20,December,2013,Friday    
646714,0,21,December,2013,Saturday  
601852,11,21,December,2013,Saturday  
641799,12,21,December,2013,Saturday  
601537,16,21,December,2013,Saturday  
610565,14,22,December,2013,Sunday    
600835,17,22,December,2013,Sunday    
626898,10,23,December,2013,Monday    
600571,14,23,December,2013,Monday    
627559,21,23,December,2013,Monday    
634210,0,24,December,2013,Tuesday   
649364,2,24,December,2013,Tuesday   
647744,22,24,December,2013,Tuesday   
638050,0,25,December,2013,Wednesday 
600583,4,25,December,2013,Wednesday 
623891,7,25,December,2013,Wednesday 
600290,11,25,December,2013,Wednesday 
646641,12,25,December,2013,Wednesday 
610789,18,25,December,2013,Wednesday 
646978,22,25,December,2013,Wednesday 
602932,0,26,December,2013,Thursday  
609057,12,26,December,2013,Thursday  
609008,14,26,December,2013,Thursday  
605587,19,26,December,2013,Thursday  
649465,23,26,December,2013,Thursday  
624459,15,27,December,2013,Friday    
641317,0,28,December,2013,Saturday  
625931,9,28,December,2013,Saturday  
604262,12,28,December,2013,Saturday  
647445,14,28,December,2013,Saturday  
629678,16,28,December,2013,Saturday  
620978,0,29,December,2013,Sunday    
610378,12,29,December,2013,Sunday    
611474,0,30,December,2013,Monday    
647771,2,30,December,2013,Monday    
611478,18,30,December,2013,Monday    
629258,22,30,December,2013,Monday    
687037,0,31,December,2013,Tuesday   
611851,7,31,December,2013,Tuesday   
601665,11,31,December,2013,Tuesday   
616321,12,31,December,2013,Tuesday   
610673,13,31,December,2013,Tuesday   
601534,14,31,December,2013,Tuesday   
648212,15,31,December,2013,Tuesday   
658129,17,31,December,2013,Tuesday   
608736,19,31,December,2013,Tuesday   
610672,21,31,December,2013,Tuesday   
610068,22,31,December,2013,Tuesday   
642985,23,31,December,2013,Tuesday   
600008,0,1,January,2014,Wednesday 
600524,1,1,January,2014,Wednesday 
600538,2,1,January,2014,Wednesday 
600525,3,1,January,2014,Wednesday 
626572,4,1,January,2014,Wednesday 
625038,5,1,January,2014,Wednesday 
625079,6,1,January,2014,Wednesday 
600539,7,1,January,2014,Wednesday 
610419,8,1,January,2014,Wednesday 
608729,9,1,January,2014,Wednesday 
617852,10,1,January,2014,Wednesday 
600808,11,1,January,2014,Wednesday 
600517,12,1,January,2014,Wednesday 
600747,13,1,January,2014,Wednesday 
626131,14,1,January,2014,Wednesday 
600854,15,1,January,2014,Wednesday 
608727,16,1,January,2014,Wednesday 
611896,17,1,January,2014,Wednesday 
611834,18,1,January,2014,Wednesday 
