time_id,hour,day,month,year,day_of_week
844,0,11,6,2013,3
845,7,20,9,2014,7
846,20,19,9,2014,6
847,1,20,9,2014,7
848,0,3,12,2014,4
849,3,12,1,2014,1
850,22,2,7,2014,4
851,23,3,12,2014,4
852,9,31,1,2014,6
853,9,19,9,2014,6
854,10,16,10,2014,5
855,4,1,11,2014,7
856,8,18,7,2014,6
857,14,4,12,2014,5
858,9,27,6,2014,6
859,19,20,9,2014,7
860,12,29,6,2014,1
861,19,1,11,2014,7
862,13,29,10,2014,4
863,15,29,10,2014,4
864,16,29,10,2014,4
865,12,29,10,2014,4
866,2,1,11,2014,7
867,3,1,11,2014,7
868,6,3,11,2014,2
869,22,3,11,2014,2
870,9,29,11,2014,7
871,20,29,11,2014,7
872,17,3,12,2014,4
873,19,4,6,2014,4
874,0,29,5,2014,5
875,1,22,6,2014,1
876,10,22,6,2014,1
877,15,22,6,2014,1
878,16,22,6,2014,1
879,21,22,6,2014,1
880,0,24,6,2014,3
881,5,4,7,2014,6
882,2,4,7,2014,6
883,15,31,7,2014,5
884,3,4,8,2014,2
885,12,8,11,2014,7
886,6,31,1,2014,6
887,22,23,2,2014,1
888,21,28,2,2014,6
889,0,3,3,2014,2
890,13,3,3,2014,2
891,10,3,3,2014,2
892,20,5,3,2014,4
893,21,20,3,2014,5
894,4,6,4,2014,1
895,19,6,4,2014,1
896,10,14,4,2014,2
897,16,14,4,2014,2
898,17,22,3,2014,7
899,13,21,3,2014,6
900,1,6,4,2014,1
901,0,24,7,2014,5
902,21,30,11,2014,1
903,11,12,6,2014,5
904,13,21,6,2014,7
905,0,14,12,2013,7
906,14,29,1,2014,4
907,17,3,4,2014,5
908,21,21,4,2013,1
909,17,15,3,2014,7
910,19,14,3,2014,6
911,18,31,3,2014,2
912,12,14,5,2014,4
913,17,5,2,2014,4
914,10,31,8,2014,1
915,5,25,6,2014,4
916,10,27,6,2014,6
917,9,1,7,2014,3
918,4,1,7,2014,3
919,21,1,7,2014,3
920,1,4,9,2014,5
921,3,4,9,2014,5
922,0,1,4,2014,3
923,8,4,9,2014,5
924,1,9,9,2014,3
925,14,11,9,2014,5
926,3,19,9,2014,6
927,2,19,9,2014,6
928,3,20,9,2014,7
929,15,27,7,2014,1
930,9,27,4,2014,1
931,9,4,12,2014,5
932,17,19,9,2014,6
933,15,23,2,2014,1
934,19,19,2,2014,4
935,12,26,11,2013,3
936,18,4,12,2014,5
937,2,28,9,2014,1
938,14,28,2,2014,6
939,22,26,7,2014,7
940,12,10,12,2014,4
941,4,28,9,2014,1
942,14,27,7,2014,1
943,17,28,2,2014,6
944,12,20,7,2014,1
945,0,11,12,2014,5
946,18,2,8,2014,7
947,22,3,8,2014,1
948,1,17,8,2014,1
949,0,17,8,2014,1
950,3,17,8,2014,1
951,16,1,12,2014,2
952,0,1,7,2014,3
953,2,17,8,2014,1
954,19,19,8,2014,3
955,20,19,8,2014,3
956,23,26,8,2014,3
957,15,16,5,2014,6
958,8,17,5,2014,7
959,0,1,2,2014,7
960,11,24,5,2014,7
961,22,17,4,2014,5
962,0,6,7,2014,1
963,9,6,7,2014,1
964,17,14,7,2014,2
965,18,15,7,2014,3
966,12,15,7,2014,3
967,15,15,7,2014,3
968,23,15,7,2014,3
969,18,16,7,2014,4
970,0,22,7,2014,3
971,18,22,7,2014,3
972,23,22,7,2014,3
973,1,30,8,2014,7
974,15,30,8,2014,7
975,16,30,8,2014,7
976,17,30,8,2014,7
977,22,30,8,2014,7
978,21,30,8,2014,7
979,6,5,9,2014,6
980,20,5,9,2014,6
981,17,31,10,2014,6
982,17,31,12,2014,4
983,22,31,12,2014,4
984,16,17,5,2014,7
985,0,1,1,2011,7
986,23,17,7,2014,5
987,17,17,5,2014,7
988,10,18,5,2014,1
989,23,18,5,2014,1
990,8,24,5,2014,7
991,13,24,5,2014,7
992,18,24,5,2014,7
993,11,25,6,2014,4
994,0,25,6,2014,4
995,19,17,7,2014,5
996,12,17,5,2014,7
997,21,16,5,2014,6
998,9,15,4,2014,3
999,3,3,1,2014,6
1000,8,3,1,2014,6
1001,13,3,1,2014,6
1002,4,11,1,2014,7
1003,17,11,1,2014,7
1004,22,20,1,2014,2
1005,12,22,1,2014,4
1006,9,14,2,2014,6
1007,12,14,2,2014,6
1008,2,20,2,2014,5
1009,16,20,2,2014,5
1010,2,21,2,2014,6
1011,17,20,2,2014,5
1012,15,20,2,2014,5
1013,21,22,2,2014,7
1014,7,11,12,2014,5
1015,19,28,9,2014,1
1016,17,19,7,2014,7
1017,16,28,2,2014,6
1018,10,19,2,2014,4
1019,0,22,4,2014,3
1020,23,22,4,2014,3
1021,14,28,4,2014,2
1022,11,5,5,2014,2
1023,9,29,5,2014,5
1024,20,29,5,2014,5
1025,21,29,5,2014,5
1026,10,13,6,2014,6
1027,11,23,6,2014,2
1028,23,22,6,2014,1
1029,16,24,6,2014,3
1030,16,4,7,2014,6
1031,1,12,7,2014,7
1032,9,10,4,2014,5
1033,15,19,4,2014,7
1034,4,27,4,2014,1
1035,5,2,5,2014,6
1036,4,2,5,2014,6
1037,3,2,6,2014,2
1038,6,2,6,2014,2
1039,4,3,6,2014,3
1040,4,11,6,2014,4
1041,17,16,6,2014,2
1042,17,19,6,2014,5
1043,1,19,6,2014,5
1044,23,19,6,2014,5
1045,13,20,6,2014,6
1046,7,18,1,2014,7
1047,2,2,7,2014,4
1048,15,2,7,2014,4
1049,21,25,3,2014,3
1050,18,25,3,2014,3
1051,22,10,8,2014,1
1052,23,1,9,2014,2
1053,9,16,4,2014,4
1054,20,19,5,2014,2
1055,12,27,5,2014,3
1056,0,10,6,2014,3
1057,4,9,7,2014,4
1058,12,11,7,2014,6
1059,23,6,9,2013,6
1060,17,9,7,2014,4
1061,0,27,6,2014,6
1062,11,27,6,2014,6
1063,18,27,6,2014,6
1064,15,1,7,2014,3
1065,20,1,7,2014,3
