event_id,make,model,bike_type,colour,speed,cost,status
800341,SPECIALIZED    ,STUNTJUMPER FSR,MT,WHIGRY,20,5700,STOLEN
800342,SUPERCYCLE     ,,MT,BLKGRN,21,200,STOLEN
800343,OTHER          ,UNKNOWN        ,OT,RED   ,21,200,STOLEN
800344,SWOBO          ,DELNORTE       ,OT,BLK   ,1,1000,STOLEN
800345,UNKNOWN MAKE   ,,MT,PLE   ,10,50,STOLEN
800346,NORCO          ,CITY GLIDE     ,OT,RED   ,8,400,RECOVERED
800347,GIANT          ,FCR2           ,MT,BLKSIL,21,1400,STOLEN
800348,SCHWINN        ,KICKER         ,MT,BLK   ,21,300,STOLEN
800349,NEXT           ,CHALLENGER     ,RG,PLE   ,18,100,STOLEN
800350,IRON HORSE     ,,MT,DGR   ,18,700,STOLEN
800351,CCM            ,21 SPEED       ,MT,WHI   ,21,240,STOLEN
800352,HSM            ,312,EL,BLKMRN,1,902,STOLEN
800353,FUJI           ,ROUBAIN        ,OT,RED   ,21,2000,STOLEN
800354,TREK           ,MADONE         ,OT,BLK   ,21,3500,STOLEN
800355,EMMO           ,X              ,EL,WHI   ,0,2300,STOLEN
800356,OTHER          ,,MT,BLU   ,10,,STOLEN
800357,NORCO          ,,OT,GRY   ,21,500,STOLEN
800358,NORCO          ,,OT,SIL   ,21,500,STOLEN
800359,OTHER          ,EMO            ,EL,BLK   ,0,600,STOLEN
800360,OTHER          ,MIATA          ,OT,MRN   ,18,100,STOLEN
800361,CCM            ,SUPER CYCLE    ,RG,GLD   ,21,200,STOLEN
800362,TREK           ,MOUNTAIN       ,MT,WHIRED,21,1000,STOLEN
800363,CCM            ,U/K            ,MT,BLU   ,15,450,STOLEN
800364,GIANT          ,CYPRESS DX     ,RG,BLK   ,10,514,STOLEN
800365,OTHER          ,HYBRID         ,MT,BLK   ,10,2000,STOLEN
800366,CANNONDALE     ,QUICK 5        ,OT,PLE   ,24,629,STOLEN
800367,FORTRESS       ,1700,SC,BLK   ,1,4000,STOLEN
800368,NORCO          ,,OT,WHI   ,0,200,STOLEN
800369,OTHER          ,,OT,GRN   ,0,200,STOLEN
800370,OTHER          ,,TR,BLUWHI,1,6000,STOLEN
800371,NORCO          ,,MT,GRN   ,18,500,STOLEN
800372,SCHWINN        ,,MT,BLKWHI,21,450,STOLEN
800373,OTHER          ,UN             ,TO,PLE   ,14,500,STOLEN
800374,SCHWINN        ,,MT,BLKWHI,21,1300,STOLEN
800375,TREX 2X 8000   ,HARD PALE      ,MT,SIL   ,21,2000,STOLEN
800376,IH             ,,MT,BLK   ,21,,UNKNOWN
800377,NORCO          ,,TO,BLK   ,7,600,STOLEN
800378,ROCKY MOUNTAIN ,,MT,BLK   ,21,1300,STOLEN
800379,MARIN OR MARINO,MEIRWOOD       ,OT,BLK   ,18,800,STOLEN
