event_id,make,model,bike_type,colour,speed,cost,status
191501,OT,800 W,EL,BLK,40,800,STOLEN
191502,OTHER,FORTRESS,SC,RED,1,3000,STOLEN
191503,GI,TCR 1,TO,BLK,10,1500,STOLEN
191504,SCHWINN,,FO,BLU,1,400,RECOVERED
191505,UNKNOWN,,MT,YEL,0,,STOLEN
191506,CANNONDALE,SL,MT,REDWHI,24,,STOLEN
191507,CANNONDALE,F4,MT,BLKWHI,24,,STOLEN
191508,CC,PRODUCT #71-136,TO,BLU,18,440,STOLEN
191509,UNKNOWN MAKE,,MT,,12,,STOLEN
191510,SCOTT,SPORTSTER,OT,,12,,UNKNOWN
191511,ARGON 18,E-80,OT,BLK,5,1581.99,STOLEN
191512,SCOTT,SPARK,OT,,5,3000,STOLEN
191513,FELT,F-75,OT,BLK,5,1449.99,STOLEN
191514,OTHER,STATE-ELDORAD0,OT,WHIGLD,5,599.99,STOLEN
191515,GIANT,TALON 27.5 5,OT,BLKGRN,5,579,STOLEN
191516,OTHER,,MT,RED,18,100,STOLEN
191517,TREK,,RC,BLU,10,1152.77,STOLEN
191518,GT,,RG,ONG,10,400,STOLEN
191519,OTHER,SHIMANO,MT,BLK,21,,UNKNOWN
191520,THIN BLUE LINE,DUSTER,MT,BLU,18,700,STOLEN
191521,UK,SKYWAY (SMALL),RG,BLK,1,850,STOLEN
191522,UK,,RC,BLK,24,0,STOLEN
191523,UNKNOWN MAKE,U/K,MT,BLK,24,710,STOLEN
191524,GIANT,,OT,WHI,1,400,STOLEN
191525,CC,ALPINE,MT,WHI,24,280,STOLEN
191526,DEVINCI,,MT,BLU,24,150,STOLEN
191527,RALEIGH,,MT,PLE,18,400,STOLEN
191528,OT,SPUTNIK,SC,BRN,1,600,STOLEN
191529,CANNONDALE,SCAPEL,MT,GRYWHI,0,6000,STOLEN
191530,CANNONDALE,,RG,BLK,0,1000,STOLEN
191531,GIANT,UNK,MT,BLKRED,18,1000,STOLEN
191532,SUPERCYCLE,18 SPEED,MT,RED,18,300,UNKNOWN
191533,UNKNOWN MAKE,,OT,,0,,STOLEN
191534,RM,WHISTLER30,MT,BLK,27,938,STOLEN
191535,LINUS,ROADSTER SPIRIT,OT,CPRONG,3,730,STOLEN
191536,TREK,8.5 WHEEL DS,RG,BLKGRN,21,1200,STOLEN
191537,CCM,UNKNOWN,MT,WHI,15,,STOLEN
191538,CCM,REVOLUTION,MT,BLUWHI,5,,STOLEN
191539,ARGON 18,KRYPTON,RC,BLKRED,18,1400,STOLEN
191540,OTHER,REACTOR ADAMS,MT,,12,,UNKNOWN
191541,VITESSE,CUSTOM,RC,WHI,24,10000,STOLEN
191542,RALEIGH,TORO,MT,BLK,10,230,STOLEN
191543,TREK,7100,OT,GRN,21,800,STOLEN
191544,OTHER,,OT,LBL,1,,STOLEN
191545,OTHER,GARDEAU,TO,GRY,12,900,STOLEN
