,timeID,hour,day,month,year,dayofweek
61926,114490,23,24,9,2018,2
61927,114491,16,24,9,2018,2
61928,114492,08,25,9,2018,3
61929,114493,23,5,2,2018,2
61930,114494,10,24,9,2018,2
61931,114495,15,15,9,2018,7
61932,114496,19,26,9,2018,4
61933,114497,17,24,9,2018,2
61934,114498,16,22,11,2017,4
61935,114499,14,26,9,2018,4
61936,114500,17,23,1,2018,3
61937,114502,22,24,9,2018,2
61938,114503,16,28,9,2018,6
61939,114504,22,28,9,2018,6
61940,114505,13,30,9,2018,1
61941,114506,08,29,9,2018,7
61942,114509,09,19,9,2018,4
61943,114512,01,17,9,2018,2
61944,114514,12,23,9,2018,1
61945,114515,16,30,9,2018,1
61946,114516,09,30,9,2018,1
61947,114519,14,2,10,2018,3
61948,114520,17,18,9,2018,3
61949,114522,08,14,9,2018,6
61950,114523,23,3,10,2018,4
61951,114524,17,28,9,2018,6
61952,114525,18,3,10,2018,4
61953,114527,20,5,10,2018,6
61954,114530,00,6,10,2018,7
61955,114532,16,4,10,2018,5
61956,114533,09,7,10,2018,1
61957,114537,19,6,10,2018,7
61958,114539,17,25,11,2017,7
61959,114540,05,8,10,2018,2
61960,114541,16,2,10,2018,3
61961,114543,22,8,10,2018,2
61962,114544,03,10,10,2018,4
61963,114545,06,10,10,2018,4
61964,114548,18,11,7,2018,4
61965,114549,08,28,2,2018,4
61966,114551,17,16,8,2018,5
61967,114552,09,12,7,2018,5
61968,114555,23,20,8,2018,2
61969,114556,09,26,2,2018,2
61970,114557,17,31,7,2018,3
61971,114558,05,12,7,2018,5
61972,114559,19,13,8,2018,2
61973,114560,14,12,7,2018,5
61974,114561,09,1,8,2018,4
61975,114562,12,20,8,2018,2
61976,114563,18,12,7,2018,5
61977,114564,12,28,7,2018,7
61978,114565,00,28,2,2018,4
61979,114566,19,30,7,2018,2
61980,114569,19,30,6,2018,7
61981,114570,06,11,7,2018,4
61982,114571,00,13,7,2018,6
61983,114572,19,13,7,2018,6
61984,114574,05,8,7,2018,1
61985,114575,20,13,7,2018,6
61986,114576,13,10,7,2018,3
61987,114578,13,13,7,2018,6
61988,114579,11,12,7,2018,5
61989,114580,16,14,7,2018,7
61990,114581,15,15,7,2018,1
61991,114582,21,17,7,2018,3
61992,114583,04,18,7,2018,4
61993,114584,14,16,7,2018,2
61994,114585,05,14,7,2018,7
61995,114586,09,13,7,2018,6
61996,114587,00,18,7,2018,4
61997,114590,22,18,7,2018,4
61998,114591,12,13,7,2018,6
61999,114596,00,20,7,2018,6
62000,114597,21,14,7,2018,7
62001,114598,23,20,7,2018,6
62002,114599,13,17,7,2018,3
62003,114600,16,9,7,2018,2
62004,114601,14,21,7,2018,7
62005,114602,15,17,2,2018,7
62006,114603,04,20,7,2018,6
62007,114604,19,22,7,2018,1
62008,114605,19,16,7,2018,2
62009,114606,13,16,7,2018,2
62010,114607,16,22,7,2018,1
62011,114608,12,15,7,2018,1
62012,114609,09,23,7,2018,2
62013,114611,11,17,7,2018,3
62014,114612,05,19,1,2018,6
62015,114614,12,1,7,2018,1
62016,114615,21,15,7,2018,1
62017,114616,18,14,7,2018,7
62018,114617,18,16,7,2018,2
62019,114618,09,18,7,2018,4
62020,114619,10,24,7,2018,3
62021,114620,10,20,7,2018,6
62022,114621,20,20,7,2018,6
62023,114623,20,16,7,2018,2
62024,114624,02,25,7,2018,4
62025,114625,01,25,7,2018,4
62026,114626,12,19,7,2018,5
62027,114627,21,19,7,2018,5
62028,114631,13,25,7,2018,4
62029,114633,19,25,7,2018,4
62030,114634,17,24,7,2018,3
62031,114635,08,17,7,2018,3
62032,114636,21,25,7,2018,4
62033,114638,23,22,7,2018,1
62034,114639,00,2,7,2018,2
62035,114642,10,19,7,2018,5
62036,114643,09,20,7,2018,6
62037,114644,18,24,7,2018,3
62038,114645,16,21,7,2018,7
62039,114646,22,21,7,2018,7
62040,114648,05,29,7,2018,1
62041,114650,16,23,2,2018,6
62042,114652,00,16,2,2018,6
62043,114653,08,8,7,2018,1
62044,114654,10,2,3,2018,6
62045,114655,01,19,8,2018,1
62046,114656,23,26,7,2018,5
62047,114658,09,5,3,2018,2
62048,114659,01,1,8,2018,4
62049,114660,13,23,8,2018,5
62050,114661,20,4,3,2018,1
62051,114662,18,9,7,2018,2
62052,114663,18,22,8,2018,4
62053,114664,17,15,6,2017,5
62054,114666,16,1,8,2018,4
62055,114668,21,2,8,2018,5
62056,114670,21,30,7,2018,2
62057,114671,18,3,8,2018,6
62058,114673,13,4,8,2018,7
62059,114674,02,5,8,2018,1
62060,114675,19,3,8,2018,6
62061,114677,02,1,8,2018,4
62062,114678,09,6,8,2018,2
62063,114679,21,4,8,2018,7
62064,114681,21,6,8,2018,2
62065,114682,19,6,8,2018,2
62066,114684,07,6,8,2018,2
62067,114685,11,7,8,2018,3
62068,114686,20,2,8,2018,5
62069,114687,06,6,8,2018,2
62070,114690,14,28,7,2018,7
62071,114691,03,18,7,2018,4
